date,daily_mintemp,daily_maxtemp,daily_avgtemp
2019-11-19,0,5,3
2019-11-20,2,7,4
2019-11-21,0,7,4
2019-11-22,0,6,4
2019-11-23,0,9,6
2019-11-24,2,9,6
2019-11-25,4,9,7
2019-11-26,5,10,8
2019-11-27,4,10,8
2019-11-28,6,9,7
2019-11-29,5,7,6
2019-11-30,1,3,2
2019-12-01,-1,3,2
2019-12-02,-2,3,1
2019-12-03,-3,6,2
2019-12-04,-2,4,1
2019-12-05,-2,6,3
2019-12-06,0,8,5
2019-12-07,4,6,5
2019-12-08,3,9,7
2019-12-09,5,6,5
2019-12-10,0,5,3
2019-12-11,-1,4,2
2019-12-12,0,4,2
2019-12-13,-1,3,1
2019-12-14,2,9,7
2019-12-15,7,11,10
2019-12-16,4,8,7
2019-12-17,5,10,8
2019-12-18,6,10,8
2019-12-19,4,9,7
2019-12-20,3,8,6
2019-12-21,3,7,6
2019-12-22,4,7,5
2019-12-23,4,6,5
2019-12-24,4,9,6
2019-12-25,4,7,6
2019-12-26,-1,5,2
2019-12-27,4,7,5
2019-12-28,-1,3,2
2019-12-29,-1,4,1
2019-12-30,-1,4,1
2019-12-31,-1,5,3
2020-01-01,1,6,3
2020-01-02,1,5,3
2020-01-03,0,5,3
2020-01-04,2,5,4
2020-01-05,-1,4,1
2020-01-06,-1,7,3
2020-01-07,1,5,3
2020-01-08,-1,5,2
2020-01-09,3,9,6
2020-01-10,4,7,6
2020-01-11,1,6,3
2020-01-12,0,6,3
2020-01-13,0,6,3
2020-01-14,0,7,4
2020-01-15,1,7,4
2020-01-16,2,11,6
2020-01-17,3,8,5
2020-01-18,1,4,3
2020-01-19,-2,3,1
2020-01-20,-1,3,1
2020-01-21,-3,4,1
2020-01-22,-2,7,3
2020-01-23,-1,5,2
2020-01-24,-1,7,3
2020-01-25,0,6,3
2020-01-26,-1,6,3
2020-01-27,2,8,5
2020-01-28,-1,4,3
2020-01-29,0,4,2
2020-01-30,1,6,4
2020-01-31,7,11,10
2020-02-01,6,12,9
2020-02-02,6,10,9
2020-02-03,7,12,11
2020-02-04,2,6,4
2020-02-05,0,6,3
2020-02-06,-2,7,3
2020-02-07,1,8,5
2020-02-08,0,6,3
2020-02-09,0,10,5
2020-02-10,3,10,8
2020-02-11,3,4,4
2020-02-12,0,5,3
2020-02-13,0,6,3
2020-02-14,5,9,7
2020-02-15,2,12,7
2020-02-16,2,12,7
2020-02-17,7,10,8
2020-02-18,3,7,5
2020-02-19,2,4,3
2020-02-20,0,10,6
2020-02-21,2,6,4
2020-02-22,1,11,7
2020-02-23,6,13,10
2020-02-24,8,13,11
2020-02-25,1,7,6
2020-02-26,0,2,1
2020-02-27,-4,3,1
2020-02-28,3,9,7
2020-02-29,3,9,6
2020-03-01,3,9,7
2020-03-02,-3,5,3
2020-03-03,1,5,3
2020-03-04,0,7,4
2020-03-05,-1,5,3
2020-03-06,0,5,4
2020-03-07,1,6,3
2020-03-08,0,9,5
2020-03-09,3,7,5
2020-03-10,0,6,3
2020-03-11,6,15,11
2020-03-12,7,14,11
2020-03-13,3,8,6
2020-03-14,1,9,6
2020-03-15,0,13,8
2020-03-16,3,14,10
2020-03-17,4,17,12
2020-03-18,5,17,12
2020-03-19,6,19,14
2020-03-20,7,18,13
2020-03-21,3,9,6
2020-03-22,1,7,3
2020-03-23,-3,6,2
2020-03-24,-3,6,2
2020-03-25,-2,6,2
2020-03-26,-4,9,4
2020-03-27,-2,14,8
2020-03-28,1,14,9
2020-03-29,-3,5,3
2020-03-30,-2,4,1
2020-03-31,-2,8,4
2020-04-01,-1,14,8
2020-04-02,-2,11,7
2020-04-03,0,10,7
2020-04-04,2,14,9
2020-04-05,3,20,13
2020-04-06,5,20,15
2020-04-07,6,18,13
2020-04-08,7,19,15
2020-04-09,9,19,15
2020-04-10,8,20,15
2020-04-11,8,21,16
2020-04-12,8,22,17
2020-04-13,10,19,15
2020-04-14,2,11,7
2020-04-15,2,18,12
2020-04-16,7,22,16
2020-04-17,9,23,18
2020-04-18,12,21,17
2020-04-19,11,21,17
2020-04-20,9,15,12
2020-04-21,7,16,12
2020-04-22,5,18,13
2020-04-23,7,21,16
2020-04-24,8,20,16
2020-04-25,8,21,17
2020-04-26,9,18,13
2020-04-27,9,22,17
2020-04-28,5,12,11
2020-04-29,8,13,11
2020-04-30,9,11,10
2020-05-01,5,12,9
2020-05-02,7,13,10
2020-05-03,3,11,9
2020-05-04,10,19,16
2020-05-05,7,12,11
2020-05-06,7,17,12
2020-05-07,5,20,15
2020-05-08,10,23,18
2020-05-09,14,26,21
2020-05-10,13,23,19
2020-05-11,5,13,11
2020-05-12,3,12,8
2020-05-13,6,13,10
2020-05-14,5,11,9
2020-05-15,3,9,8
2020-05-16,4,18,13
2020-05-17,7,20,15
2020-05-18,10,22,18
2020-05-19,11,21,18
2020-05-20,10,22,18
2020-05-21,12,23,19
2020-05-22,13,24,21
2020-05-23,4,19,14
2020-05-24,6,18,14
2020-05-25,7,19,15
2020-05-26,8,18,15
2020-05-27,8,20,16
2020-05-28,9,20,17
2020-05-29,9,19,15
2020-05-30,8,17,14
2020-05-31,8,18,14
2020-06-01,8,22,17
2020-06-02,11,22,19
2020-06-03,12,25,21
2020-06-04,7,15,13
2020-06-05,9,15,12
2020-06-06,11,18,16
2020-06-07,9,12,10
2020-06-08,7,17,14
2020-06-09,10,15,13
2020-06-10,9,14,12
2020-06-11,10,21,17
2020-06-12,10,27,21
2020-06-13,14,21,17
2020-06-14,5,13,12
2020-06-15,6,14,12
2020-06-16,11,19,16
2020-06-17,8,13,13
2020-06-18,10,19,17
2020-06-19,11,21,17
2020-06-20,10,23,19
2020-06-21,11,23,20
2020-06-22,13,24,20
2020-06-23,13,25,20
2020-06-24,14,25,21
2020-06-25,13,27,22
2020-06-26,14,28,24
2020-06-27,15,26,23
2020-06-28,13,24,20
2020-06-29,14,21,18
2020-06-30,13,23,19
2020-07-01,15,28,24
2020-07-02,17,21,19
2020-07-03,13,21,19
2020-07-04,12,23,20
2020-07-05,13,24,21
2020-07-06,15,19,18
2020-07-07,9,23,18
2020-07-08,12,24,21
2020-07-09,14,26,23
2020-07-10,16,26,23
2020-07-11,15,19,17
2020-07-12,10,22,18
2020-07-13,10,24,19
2020-07-14,12,24,20
2020-07-15,12,20,17
2020-07-16,12,20,16
2020-07-17,13,20,17
2020-07-18,12,24,20
2020-07-19,13,26,21
2020-07-20,15,26,23
2020-07-21,15,25,21
2020-07-22,15,26,22
2020-07-23,15,26,23
2020-07-24,15,22,20
2020-07-25,13,26,22
2020-07-26,17,23,21
2020-07-27,16,29,24
2020-07-28,19,26,24
2020-07-29,15,26,22
2020-07-30,15,30,25
2020-07-31,19,34,28
2020-08-01,21,30,27
2020-08-02,18,21,20
2020-08-03,8,14,14
2020-08-04,11,18,15
2020-08-05,9,21,17
2020-08-06,12,25,20
2020-08-07,15,26,21
2020-08-08,17,30,25
2020-08-09,17,30,25
2020-08-10,17,30,25
2020-08-11,19,30,25
2020-08-12,20,32,27
2020-08-13,20,26,24
2020-08-14,17,25,22
2020-08-15,16,27,23
2020-08-16,16,29,24
2020-08-17,16,21,18
2020-08-18,15,23,19
2020-08-19,14,24,20
2020-08-20,18,32,26
2020-08-21,19,31,27
2020-08-22,18,24,21
2020-08-23,15,21,19
2020-08-24,12,20,18
2020-08-25,11,26,20
2020-08-26,15,22,19
2020-08-27,12,23,19
2020-08-28,9,21,17
2020-08-29,5,13,13
2020-08-30,10,12,12
2020-08-31,9,19,15
2020-09-01,11,18,15
2020-09-02,10,20,16
2020-09-03,9,22,17
2020-09-04,13,28,22
2020-09-05,15,24,21
2020-09-06,14,17,15
2020-09-07,11,20,16
2020-09-08,10,23,17
2020-09-09,12,25,20
2020-09-10,13,24,20
2020-09-11,14,22,18
2020-09-12,14,26,21
2020-09-13,15,27,22
2020-09-14,15,30,24
2020-09-15,17,30,25
2020-09-16,17,29,24
2020-09-17,14,25,20
2020-09-18,14,22,18
2020-09-19,11,23,18
2020-09-20,13,24,20
2020-09-21,13,25,20
2020-09-22,13,23,19
2020-09-23,14,22,18
2020-09-24,14,20,17
2020-09-25,7,10,8
2020-09-26,-1,5,4
2020-09-27,5,10,8
2020-09-28,3,16,12
2020-09-29,9,11,10
2020-09-30,7,19,13
2020-10-01,8,17,13
2020-10-02,10,17,13
2020-10-03,6,14,10
2020-10-04,8,16,12
2020-10-05,7,14,11
2020-10-06,9,12,11
2020-10-07,7,12,10
2020-10-08,6,16,11
2020-10-09,9,18,14
2020-10-10,8,11,10
2020-10-11,4,10,8
2020-10-12,4,9,6
2020-10-13,1,11,7
2020-10-14,2,11,7
2020-10-15,3,7,6
2020-10-16,6,10,8
2020-10-17,4,11,8
2020-10-18,5,12,9
2020-10-19,3,13,9
2020-10-20,4,16,11
2020-10-21,5,18,13
2020-10-22,9,13,11
2020-10-23,10,13,11
2020-10-24,8,16,12
2020-10-25,7,16,12
2020-10-26,7,8,8
2020-10-27,4,11,8
2020-10-28,7,12,9
2020-10-29,8,12,10
2020-10-30,8,15,12
2020-10-31,5,17,12
2020-11-01,7,13,10
2020-11-02,11,18,15
2020-11-03,10,13,11
2020-11-04,-1,7,6
2020-11-05,5,10,7
2020-11-06,4,9,7
2020-11-07,3,13,8
2020-11-08,5,13,9
2020-11-09,5,14,10
2020-11-10,6,13,9
2020-11-11,5,13,9
2020-11-12,5,14,10
2020-11-13,5,13,9
2020-11-14,5,14,10
2020-11-15,6,12,9
2020-11-16,6,10,8
2020-11-17,4,9,7
2020-11-18,3,12,8
2020-11-19,7,7,7
2020-11-20,-3,4,3
2020-11-21,-1,5,2
2020-11-22,0,6,3
2020-11-23,0,6,3
2020-11-24,-1,7,4
2020-11-25,1,8,5
2020-11-26,1,8,5
2020-11-27,1,8,5
2020-11-28,1,8,5
2020-11-29,0,2,0
2020-11-30,-4,2,0
2020-12-01,-3,3,1
2020-12-02,0,2,1
2020-12-03,-4,2,-1
2020-12-04,-2,3,1
2020-12-05,0,3,1
2020-12-06,1,4,3
2020-12-07,0,3,2
2020-12-08,-3,1,-1
2020-12-09,-1,1,0
2020-12-10,-4,1,-1
2020-12-11,-4,2,0
2020-12-12,1,5,3
2020-12-13,1,5,4
2020-12-14,-1,4,2
2020-12-15,1,6,4
2020-12-16,4,7,5
2020-12-17,2,5,4
2020-12-18,1,7,4
2020-12-19,2,6,4
2020-12-20,1,6,4
2020-12-21,3,7,5
2020-12-22,6,9,9
2020-12-23,5,9,7
2020-12-24,5,7,7
2020-12-25,0,2,2
2020-12-26,-5,2,-1
2020-12-27,-3,1,-1
2020-12-28,-1,2,0
2020-12-29,-1,2,1
2020-12-30,-2,2,0
2020-12-31,-2,2,0
2021-01-01,-2,2,0
2021-01-02,-1,1,0
2021-01-03,-1,2,0
2021-01-04,-3,2,0
2021-01-05,-2,1,0
2021-01-06,-2,1,-1
2021-01-07,-4,0,-2
2021-01-08,-4,0,-2
2021-01-09,-5,-1,-3
2021-01-10,-4,-2,-3
2021-01-11,-7,-1,-4
2021-01-12,-4,3,1
2021-01-13,1,4,2
2021-01-14,-1,3,1
2021-01-15,-10,-2,-3
2021-01-16,-8,-4,-6
2021-01-17,-6,1,1
2021-01-18,-3,1,-1
2021-01-19,-5,2,-1
2021-01-20,-2,2,0
2021-01-21,-1,5,2
2021-01-22,1,5,3
2021-01-23,0,3,1
2021-01-24,-2,3,0
2021-01-25,-2,1,0
2021-01-26,-3,1,-1
2021-01-27,-5,1,-1
2021-01-28,0,8,5
2021-01-29,2,7,6
2021-01-30,-2,4,3
2021-01-31,3,7,5
2021-02-01,3,7,5
2021-02-02,3,8,6
2021-02-03,6,11,9
2021-02-04,4,9,6
2021-02-05,4,9,7
2021-02-06,3,10,7
2021-02-07,3,5,4
2021-02-08,0,7,3
2021-02-09,1,4,2
2021-02-10,-3,2,1
2021-02-11,-10,-4,-7
2021-02-12,-9,-3,-6
2021-02-13,-10,-3,-6
2021-02-14,-8,3,-2
2021-02-15,-5,4,0
2021-02-16,1,9,5
2021-02-17,3,9,6
2021-02-18,0,9,5
2021-02-19,3,12,8
2021-02-20,2,15,10
2021-02-21,3,15,9
2021-02-22,4,11,7
